6

78.5

10

1.0  0.8  0.5  0.4  0.3 0.1

0.01  0.02  0.4  0.8 1.0 1.0

0.02  0.03  0.5  0.9  1.0 1.0


1 1 0 0 0 0 0 0
1 2 0 0 0 0 0 0
1 3 0 0 0 0 0 0
1 4 0 2 0 0 0 0
1 5 0 0 1 0 2 0
1 6 0 0 0 0 0 0
2 2 0 0 0 0 0 0
2 3 5 0 0 0 0 0
2 4 10 2 0 1 0 0
2 5 0 1 1 1 0 0
2 6 0 0 0 1 1 0
3 3 2 0 0 0 0 0
3 4 32 1 1 0 0 0
3 5 26 3 3 0 0 0
3 6 1 0 2 1 1 0
4 4 15 0 0 0 0 0
4 5 34 14 0 0 0 0
4 6 8 6 3 2 0 0
5 5 15 2 0 0 0 0
5 6 31 10 2 1 0 0
6 6 41 10 3 0 0 0


1 1 0 0 0 0 0 0
1 2 8 0 0 0 0 0
1 3 13 1 0 0 0 0
1 4 3 29 3 0 0 0
1 5 0 2 0 1 0 0
1 6 0 0 0 1 0 0
2 2 0 0 0 0 0 0
2 3 22 2 0 0 0 0
2 4 39 13 3 0 0 0
2 5 3 23 38 2 2 0
2 6 0 1 1 2 1 1
3 3 0 0 0 0 0 0
3 4 77 10 1 0 0 0
3 5 24 3 7 0 0 0
3 6 0 6 2 0 1 0
4 4 8 0 0 0 0 0
4 5 25 0 3 0 1 0
4 6 4 1 1 0 0 1
5 5 19 0 0 0 0 0
5 6 20 1 0 0 0 0
6 6 14 0 0 1 0 0
